Fragrance,Name:Brand:Launched
Violetta-Rose,
Flint accord,
Woody Notes,
Amalfi lemon,Escale aux Marquises:Christian Dior:2010
Coumarin,
Camphor wood,
Geranium,Noir Epices:Editions de Parfums Frederic Malle:2000-*-Géranium pour Monsieur:Editions de Parfums Frederic Malle:2009-*-Amazone (original):Hermès:1974
Clove,Une Fleur de Cassie:Editions de Parfums Frederic Malle:2000-*-Dans Tes Bras:Editions de Parfums Frederic Malle:2008-*-Kouros:Yves Saint Laurent:1981
Cherry Blossom,Paris Roses des Vergers Springtime:Yves Saint Laurent:2006
Tarragon,Givenchy Gentleman:Givenchy:1974-*-Patou pour Homme:Jean Patou:1980
Green Mango,Un Jardin sur le  Nil:Hermès:2005
Cumin,Une Fleur de Cassie:Editions de Parfums Frederic Malle:2000
Anethol,Géranium pour Monsieur:Editions de Parfums Frederic Malle:2009
tangerine,Aqua Fahrenheit:Christian Dior:2011
Teak,
Labdanum,Oud Ispahan:Christian Dior:2012
Cyclamen,Cinéma:Yves Saint Laurent:2004-*-Paris Roses des Vergers Springtime:Yves Saint Laurent:2006
Magnolia leaf,
Citrus Notes,Kouros Cologne Sport:Yves Saint Laurent:2003
Damascena rose,
Hesperidic notes,Après L'ondée:Guerlain:1906-*-Chant DArômes:Guerlain:1962-*-Parure:Guerlain:1975
Vetiver from Haiti,
Black cherry,La Petite Robe Noire 2012:Guerlain:2012
Tuberose,
Exotic Spices,
Clary Sage,Antaeus:Chanel:1981
Cactus Flesh,Xeryus Rouge:Givenchy:1995
Clementine,Cinéma:Yves Saint Laurent:2004
Sandalwood.,
Ambrette Seed,
Beeswax Absolute,
White musks,
Petitgrain,Chanel Pour Monsieur Concentrée:Chanel:1989-*-Platinum Égoïste:Chanel:1993-*-Escale a Parati:Christian Dior:2012-*-Aqua Allegoria Flora Nerolia:Guerlain:2000-*-Eau de Guerlain:Guerlain:1974-*-Les Secrets de Sophie:Guerlain:2009-*-Mon Precieux Nectar:Guerlain:2009-*-Le Bolshoï Saison 2012 La Traviata:Guerlain:2012-*-Eau de Patou pour Homme:Jean Patou:1976
Tea,
Mango,
Cistus,
Papaya,
Raspberry,Dior Addict to Life:Christian Dior:2011-*-Bloom:Givenchy:2013-*-My Insolence:Guerlain:2007
Lemon tree leaves,Coriolan:Guerlain:1998
Boronia,
Tonka,
Vetiver.,
Ylang-ylang,
Tonka Bean,
Iris,
Violet,Dioressence:Christian Dior:1969-*-Dans Tes Bras:Editions de Parfums Frederic Malle:2008-*-Givenchy pour Homme:Givenchy:2002-*-Paris Premières Roses:Yves Saint Laurent:2003-*-Paris Premières Roses 2012:Yves Saint Laurent:2012
Tagete,Extravagance D'Amarige:Givenchy:1998
Candied Fruit,
Violets,Paris Roses Enchantées:Yves Saint Laurent:2005
Oud,
Brazilian Rosewood.,Égoïste / L'Égoïste:Chanel:1990
Bourbon Vetiver,
Haitian Vetiver,
Caviar,Bloom:Givenchy:2013
Passion flower,
Rum,
Litchi,
Jasmine Sambac,
Nasturcia,
Tangerine,Pi Fraiche:Givenchy:2001-*-Les Elixirs Charnels - Boisé Torride:Guerlain:2009-*-Kouros Cologne Sport:Yves Saint Laurent:2003
Basalm,
Mimosa,Coco:Chanel:1984-*-Une Fleur de Cassie:Editions de Parfums Frederic Malle:2000-*-Dahlia Noir:Givenchy:2011
Styrax,
Amyris wood,
Mandarin Leaf,"Dior Addict Eau Fraîche:Christian Dior:2004-*-Dior Addict Dior Twist"""":Christian Dior:2004"
Violet Leaf Accord,
Hibiscus seeds,
Vanilla,Dior Addict Eau Fraîche:Christian Dior:2004-*-Metalys / Metallica:Guerlain:2000
Citron Zest,Allure Homme:Chanel:1999
Lily of the Valley (Muguet),Lys Méditerranée:Editions de Parfums Frederic Malle:2000
Green Fig,Hermèssence Santal Massoïa:Hermès:2011
Jasmine Absolute,
Somalian myrrh,
Bitter Almond,Hypnotic Poison:Christian Dior:1998
Tonka beans,
Banana accords,Sira des Indes:Jean Patou:2006
Oak wood absolute,
Leafy Green,Joy:Jean Patou:1930
Petigrain,
Cerdarwood,
Quince,Chance Eau Tendre:Chanel:2010
White musk,
Maté,
rose,
Gingerbread,Very Irrésistible Poesie d'un Parfum d'Hiver:Givenchy:2011
Bay Rose,Nuit d'Amour:Guerlain:2006
Cedar wood,
Rosemary flower,
Flowery notes,L'Instant Magic Elixir:Guerlain:2009
Russian Leather,
Bourbon Vanilla,
Japanese wild rose,
Lily of the Valley,Cristalle Eau de Parfum:Chanel:1993-*-Ange ou Démon Tendre:Givenchy:2008-*-Équipage:Hermès:1970
Pepper mint,Géranium pour Monsieur:Editions de Parfums Frederic Malle:2009
Iris wood,
Lily,
Tunisian neroli,Miss Dior Eau De Toilette:Christian Dior:2013
Amirys wood,
White Orchid,
Tiare,
Virginia Cedar.,
Brazilian Tonka bean,
Bitter Cocoa Beans,
Clove Oil,
Pink peppercorns,Play for Her:Givenchy:2010-*-Play Intense for Her:Givenchy:2010-*-Lights of Champs-Élysées:Guerlain:2006
Water flowers,
Luminous Woody Base,
Thyme,Granville:Christian Dior:2010-*-Chypre Rouge:Serge Lutens Les Salons du Palais Royal Shiseido:2006
Undergrowth note,
Vinyl accord,Parisienne L'Essentiel:Yves Saint Laurent:2011-*-Parisienne L'Eau:Yves Saint Laurent:2012
Aldehydes,No. 5:Chanel:1921-*-No. 22:Chanel:1922-*-Allure Homme Sport:Chanel:2004-*-1932:Chanel:2013-*-Liù:Guerlain:1929-*-Nuit d'Amour:Guerlain:2006-*-Les Déserts d'Orient - Encens Mythique d'Orient:Guerlain:2012-*-Eau Claire des Merveilles:Hermès:2010-*-Joy:Jean Patou:1930
Pink Pepper,Allure Sensuelle:Chanel:2005-*-L'Homme Libre:Yves Saint Laurent:2011
Tarragon.,Xeryus Rouge:Givenchy:1995
Damascan rose,
Orange Blossom,Fahrenheit 32:Christian Dior:2007-*-Hypnotic Poison Eau Sensuelle:Christian Dior:2011-*-Ange ou Démon Tendre:Givenchy:2008-*-Paris Premières Roses:Yves Saint Laurent:2003-*-Paris Roses Enchantées:Yves Saint Laurent:2005
Spicy notes,
White Musk Cocktail,
Redcurrant,"Une Ville, un Parfum : Moscow:Guerlain:2009-*-Baby Doll Paris:Yves Saint Laurent:1999-*-Baby Doll Honeymoon:Yves Saint Laurent:2009"
Angelica Root,
Melon,Diorella:Christian Dior:1972-*-Le Parfum de Thérèse:Editions de Parfums Frederic Malle:2000
Green Tea,
Sycamore,
Floral Notes,
Bitter Lemon Peel,Live Jazz:Yves Saint Laurent:1998
Vetyver,
Orange blossom,La Petite Robe Noire Eau De Toilette:Guerlain:2013-*-Paris Premières Roses 2012:Yves Saint Laurent:2012
Amber,
Aldehyde,
Fir Trees,Aqua Allegoria Winter Delice:Guerlain:2000
Night Queen Flower,
Centiflora Rose,
Woody amber,
Black tea,
Passion fruit,Baby Doll Honeymoon:Yves Saint Laurent:2009
